Index	Start	End	Move	ClientAppName	ConnectionName	ClientInstance	ServerAppName	ServerInstance	ExtraData	RunId																
47	AU03-TESTFIX1	172.17.127.58	IOSPLUSSRE ORH primary IOS_SPIOSPLUSFIXCI1→NULL NULL	IOSPLUSSRE	ORH primary	IOS_SPIOSPLUSFIXCI1	NULL	NULL		14																
48	AU03-TESTFIX1	SPTMPNXDS	IOSPLUSSRE ORH secondary IOS_SPIOSPLUSFIXCI1→NULL NULL	IOSPLUSSRE	ORH secondary	IOS_SPIOSPLUSFIXCI1	NULL	NULL		14																
49	AU03-TESTFIX1	AU03-TESTFIX1	IOSPLUSSRE TE->AU03-TESTFIX1:9449 IOS_SPIOSPLUSFIXCI1→IOSPLUSTE IOS_SPIOSPLUSFIXCI1	IOSPLUSSRE	TE->AU03-TESTFIX1:9449	IOS_SPIOSPLUSFIXCI1	IOSPLUSTE	IOS_SPIOSPLUSFIXCI1		14																
50	AU03-TESTFIX1	AU03-TESTFIX1	FIXPLUSSRE TE->AU03-TESTFIX1:18000 SPFIXPLUSFIXCI1→FIXPLUSTE SPFIXPLUSFIXCI1	FIXPLUSSRE	TE->AU03-TESTFIX1:18000	SPFIXPLUSFIXCI1	FIXPLUSTE	SPFIXPLUSFIXCI1		14																
51	AU03-TESTFIX1	172.17.127.58	IOSPLUSTE ORH primary IOS_SPIOSPLUSFIXCI1→NULL NULL	IOSPLUSTE	ORH primary	IOS_SPIOSPLUSFIXCI1	NULL	NULL		14																
52	AU03-TESTFIX1	SPTMPNXDS	IOSPLUSTE ORH secondary IOS_SPIOSPLUSFIXCI1→NULL NULL	IOSPLUSTE	ORH secondary	IOS_SPIOSPLUSFIXCI1	NULL	NULL		14																
53	AU03-TESTFIX1	172.17.126.163	IOSPLUSTE Depth IOS_SPIOSPLUSFIXCI1→NULL NULL	IOSPLUSTE	Depth	IOS_SPIOSPLUSFIXCI1	NULL	NULL		14																
54	AU03-TESTFIX1	172.17.126.163	IOSPLUSTE Trade IOS_SPIOSPLUSFIXCI1→NULL NULL	IOSPLUSTE	Trade	IOS_SPIOSPLUSFIXCI1	NULL	NULL		14																
55	AU03-TESTFIX1	AU03-TESTFIX1	IOSPLUSTE ASX IOS_SPIOSPLUSFIXCI1→NULL NULL	IOSPLUSTE	ASX	IOS_SPIOSPLUSFIXCI1	NULL	NULL		14																
56	AU03-TESTFIX1	AU03-TESTFIX1	IOSPLUSTE SSX IOS_SPIOSPLUSFIXCI1→NULL NULL	IOSPLUSTE	SSX	IOS_SPIOSPLUSFIXCI1	NULL	NULL		14																
57	AU03-TESTFIX1	172.17.127.58	FIXPLUSTE ORH primary SPFIXPLUSFIXCI1→NULL NULL	FIXPLUSTE	ORH primary	SPFIXPLUSFIXCI1	NULL	NULL		14																
58	AU03-TESTFIX1	SPTMPNXDS	FIXPLUSTE ORH secondary SPFIXPLUSFIXCI1→NULL NULL	FIXPLUSTE	ORH secondary	SPFIXPLUSFIXCI1	NULL	NULL		14																
59	AU03-DMCDONNPC1	172.17.127.60	TIAPP Order Entry | 1 FIXTI_TITEST2→NULL NULL	TIAPP	Order Entry | 1	FIXTI_TITEST2	NULL	NULL		19																
60	AU03-DMCDONNPC1	fe80::e980:a403:f42:a385%3	TIAPP ORH primary FIXTI_TITEST2→NULL NULL	TIAPP	ORH primary	FIXTI_TITEST2	NULL	NULL		19																
61	AU03-DMCDONNPC1	fe80::e980:a403:f42:a385%3	TIAPP ORH secondary FIXTI_TITEST2→NULL NULL	TIAPP	ORH secondary	FIXTI_TITEST2	NULL	NULL		19																
62	SPTM-IOS6	SPTMPNXDS	IOSPLUSSRE ORH primary IOS_SPTXIOSPLUS13→NULL NULL	IOSPLUSSRE	ORH primary	IOS_SPTXIOSPLUS13	NULL	NULL		1																
63	SPTM-IOS6	172.17.126.70	IOSPLUSSRE ORH secondary IOS_SPTXIOSPLUS13→NULL NULL	IOSPLUSSRE	ORH secondary	IOS_SPTXIOSPLUS13	NULL	NULL		1																
64	SPTM-IOS6	SPTM-IOS6	IOSPLUSSRE TE->sptm-ios6:9444 IOS_SPTXIOSPLUS13→IOSPLUSTE IOS_SPTXIOSPLUS13	IOSPLUSSRE	TE->sptm-ios6:9444	IOS_SPTXIOSPLUS13	IOSPLUSTE	IOS_SPTXIOSPLUS13		1																
65	SPTM-IOS6	SPTMPNXDS	IOSPLUSSRE ORH primary IOS_SPTMIOSPLUS13→NULL NULL	IOSPLUSSRE	ORH primary	IOS_SPTMIOSPLUS13	NULL	NULL		1																
66	SPTM-IOS6	172.17.126.70	IOSPLUSSRE ORH secondary IOS_SPTMIOSPLUS13→NULL NULL	IOSPLUSSRE	ORH secondary	IOS_SPTMIOSPLUS13	NULL	NULL		1																
